id,name,survey_year,is_accredited,has_score,accreditation_body,max_score,score
24992,A.V.C. College of Engineering,2015,TRUE,TRUE,NAAC,4,2.73
24992,A.V.C. College of Engineering,2015,TRUE,FALSE,NBA,NA,NA
6170,Heritage Business School 304,2015,TRUE,FALSE,NBA,NA,NA
94,"G.H.PATEL COLLEGE OF ENGG. & TECH. , V. V. NAGAR 011",2015,TRUE,FALSE,NATIONAL BOARD OF ACCREDITATION,NA,NA
44442,"S.S.L.N.T MAHILA COLLEGE, DHANBAD",2015,TRUE,TRUE,NAAC,4,2.3
6121,Maneklal Nanavati Law College,2015,TRUE,TRUE,NAAC,4,2.49
21410,"Govt. Degree College Kupwara, Kashmir",2015,TRUE,TRUE,NAAC,4,2.45
605,Mahamandleshwar Shri Krishnandji Law College,2015,TRUE,TRUE,NAAC,4,1.93
5802,Smt. Laxmiben & Chimanlal Mehta Arts College,2015,TRUE,TRUE,NAAC,4,2.12
1027,LAW COLLEGE-JUNAGADH,2015,TRUE,TRUE,NAAC,4,2.1
1027,LAW COLLEGE-JUNAGADH,2015,TRUE,TRUE,AAA,10,7.5
11111,Gopal Krishna Gokhale College,2015,TRUE,TRUE,NAAC,4,2.85
18323,"Bhagwantrao Arts College, Sironcha",2015,TRUE,TRUE,NAAC,4,3
21404,"Govt. Degree College Bemina, Srinagar",2015,TRUE,TRUE,NAAC,4,3.01
30800,KC College of Education,2015,TRUE,TRUE,NAAC,4,2.39
42804,Shyampur Siddheswari Mahavidyalaya,2015,TRUE,TRUE,NAAC,4,2.27
24575,"S.M.J.N P.G college, Govindpuri, Haridwar",2015,TRUE,FALSE,"Hemwati Nandan Bahuguna Garhwal Univeristy, Srinagar, Garhwal",NA,NA
13354,Springdale Mahila Mahavidyalaya,2015,TRUE,TRUE,NAAC,4,2.78
7260,"Indira Gandhi Senior College, Cidco, Nanded",2015,TRUE,TRUE,NAAC,4,2.62
6714,AJET COLLEGE OF EDUCATION RADHANPUR,2015,TRUE,TRUE,NAAC,4,2.15
35579,"Shri. B.R. Tambakad First Grade Arts & Commerce College, Hirekerur",2015,TRUE,TRUE,NAAC,4,2.17
22943,Lal Bahadur Shastri College of Education,2015,TRUE,TRUE,NAAC,4,2.8
13481,Rani Bhagyavati Devi Mahila Mahavidyalaya,2015,TRUE,TRUE,NAAC,4,2.76
7430,B. Raghunath Arts & Science College Parbhani,2015,TRUE,TRUE,NAAC,4,2.46
19042,Tamralipta Mahavidyalaya,2015,TRUE,TRUE,NAAC,4,3.032
45562,"GANGA MEDICAL CENTRE AND HOSPITAL PVT. LTD., (Inst. Code - 417), COIMBATORE",2015,TRUE,FALSE,National Accreditation Board for Hospital,NA,NA
19059,Raja Narendra Lal Khan Women's College,2015,TRUE,TRUE,NAAC,4,3.1
11035,"Doodhsakhar Mahavidyalaya, BIDRI",2015,TRUE,TRUE,NAAC,4,2.64
7083,Srikrishna College,2015,TRUE,TRUE,NAAC,4,2.29
27919,"Shaheed Bhagat Singh College of Education, Patti.",2015,TRUE,TRUE,NAAC,4,2.89
41887,"Mahatama Gandhi Vidyamandirs Guruwarya Dodhu Anandbuwa Kala & Wanijya Mahavidyalaya,Malegaon City, Dist.Nashik 423203",2015,TRUE,TRUE,NAAC,4,2.15
828,S.M.JADEJA ARTS & COMMERCE COLLEGE-KUTIYANA (PORBANDAR),2015,TRUE,TRUE,NAAC,4,1.91
13181,"Star Infotech College, Deoli",2015,TRUE,FALSE,MDS UNIVERSITY,NA,NA
5859,Shree J. L. K. Kotecha Arts & S. H. Gardi Commerce College,2015,TRUE,TRUE,NAAC,4,1.83
13765,"Gramodhyogik Shikshan Mandals MITs Nursing College, Cidco, Aurangabad",2015,TRUE,FALSE,Indian Nursing Council New Delhi,NA,NA
19837,CMR Institute of Technology,2015,TRUE,TRUE,National Board of Accreditation,999,676
12214,"DAYANAND COLLEGE OF LAW,",2015,TRUE,TRUE,NAAC,4,2.08
750,"ARTS & COMMERCE COLLEGE, MENDARDA",2015,TRUE,TRUE,NAAC,4,2.12
12300,"JANTA MAHAVIDYALAYA, AJEETMAL,",2015,TRUE,TRUE,NAAC,4,2.88
534,Sir K. P. College of Commerce,2015,TRUE,TRUE,NAAC,4,3.02
42680,Balurghat B.Ed. College,2015,TRUE,TRUE,NAAC,4,2.21
41908,"Ahmednagar Jilha Maratha Vidya Prasarak Samaj's New Arts,Commerce & Science College, Ahmednagar 414001",2015,TRUE,TRUE,NAAC,4,3.53
33930,Seva Sadans College of Education Dist Thane 421 003 Ulhasnagar,2015,TRUE,TRUE,NAAC,4,3.23
1170,"MB Patel College of Education, Vallabh Vidyanagar",2015,TRUE,TRUE,NAAC,4,3.39
1170,"MB Patel College of Education, Vallabh Vidyanagar",2015,TRUE,TRUE,KCG AAA,4,3.42
21459,"Govt. Degree College for Women, Baramullah, Kmr.",2015,TRUE,TRUE,NAAC,4,2.68
52676,Centre for Heritage Management,2015,TRUE,TRUE,"AAA(KCG,Gujarat)",4,2.543
17,H. L. INSTITUTE OF COMMERCE,2015,TRUE,TRUE,"AAA(KCG,Gujarat)",4,2.543
15,POST GRADUATE INSTITUTE OF MANAGEMENT - AMRUT MODY SCHOOL OF MANAGEMENT,2015,TRUE,TRUE,"AAA(KCG,Gujarat)",4,2.543
39539,"S.M.Mahavidyalaya,Asueswar,Cuttack",2015,TRUE,TRUE,NAAC,4,3.6
44732,"Vivekananda Mahavidyalaya, Burdwan",2015,TRUE,TRUE,NAAC,4,3.088
45341,"GYANJYOTI COLLEGE, DARJEELING",2015,TRUE,TRUE,NAAC,4,2.1
29128,"Lala Laj Pat Rai Institute of Nursing, Moga",2015,TRUE,FALSE,INDIAN NURSING COUNCIL,NA,NA
22210,"Aklia College of Education, Village Akliakalan, P.O. Goniana Mandi, Distt Bathinda",2015,TRUE,TRUE,NAAC,4,2
18663,"Education Maharshi Krishnarao Zoting Patil Arts Commerce College, Samudrapur",2015,TRUE,TRUE,NAAC,4,2.27
5803,Shri Swaminarayan Arts College,2015,TRUE,TRUE,NAAC,4,3
