Institution,Caste-Category - Total - Male,Caste-Category - Total - Female,Caste-Category - SC - Male,Caste-Category - SC - Female,Caste-Category - ST - Male,Caste-Category - ST - Female,Caste-Category - OBC - Male,Caste-Category - OBC - Female,Out of Total - PWD - Male,Out of Total - PWD - Female,Out of Total - Muslim - Male,Out of Total - Muslim - Female,Out of Total - Other Minority Communities - Male,Out of Total - Other Minority Communities - Female
"Indira Gandhi Krishi Vishwavidyalaya, Raipur (Id: U-0087)",305,2,0,0,0,0,1,0,0,0,0,0,0,0
Indira Gandhi National Open University (Id: U-0104),337,187,53,17,16,12,30,6,0,1,12,5,3,4
"Indira Gandhi National Tribal University, Amarkantak (Id: U-0290)",83,12,8,0,3,1,30,7,0,0,0,0,0,0
"Indira Kala Sangit Vishwavidyalaya, Khairagarh (Id: U-0088)",24,12,1,0,2,1,0,1,1,1,0,0,0,0
"Indraprastha Institute of Information Technology, Dwarka (Id: U-0105)",17,3,0,0,0,0,0,0,0,0,0,0,1,0
"Indus International University, Bathu, Una (Id: U-0185)",26,2,0,0,0,0,0,0,0,0,0,0,0,0
"Institute of Advanced Studies in Education, Churu (Id: U-0396)",68,28,4,0,2,0,10,4,0,0,0,0,0,0
"Institute of Chartered Financial Analysts of India University, Aizawl (Id: U-0346)",12,11,0,0,4,9,0,0,0,0,1,0,4,9
"Institute of Chatertered Financial Analysts of India, Dehradun (Id: U-0561)",65,15,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
"Institute of Chemical Technology, Mumbai (Id: U-0308)",46,19,4,2,2,0,1,0,0,0,1,3,0,0
"Institute of Liver and Bilary Sciences, New Delhi (Id: U-0106)",25,9,0,0,0,0,0,0,0,0,0,0,0,0
"Integral University, Lucknow (Id: U-0519)",311,85,3,1,1,0,78,8,1,1,243,61,0,0
"International Institute for Population Sciences, Mumbai (Id: U-0309)",36,6,4,0,2,0,4,0,4,0,0,2,2,0
"International Institute of Information Technology, Bangalore (Id: U-0221)",17,3,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"International Institute of Information Technology, Hyderabad (Id: U-0014)",65,13,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"Invertis University, Bareily (Id: U-0520)",133,65,11,3,0,0,5,2,0,0,7,2,14,3
"Islamic University of Science & Technology, Pulwama (Id: U-0194)",130,55,0,0,0,0,0,0,0,0,0,0,0,0
"ITM University, Gurgaon (Id: U-0163)",96,103,0,0,0,0,1,0,0,0,1,0,NA,NA
"ITM UNIVERSITY, GWALIOR (Id: U-0648)",104,78,5,1,0,1,12,7,0,0,0,0,0,0
"Jadavpur University, Kolkata (Id: U-0575)",464,142,79,12,10,8,24,3,7,2,3,1,0,0
"Jagadguru Ramanandacharya Rajasthan Sanskrit University, Jaipur (Id: U-0397)",25,2,0,0,0,0,0,0,0,0,0,0,0,0
Jagadguru Rambhadracharya Handicapped University (Id: U-0521),32,9,2,0,0,0,3,0,2,3,1,0,0,0
"Jagadguru Sri Shivarathreeswara University, Mysore (Id: U-0222)",2,0,0,0,0,0,1,0,0,0,0,0,0,0
"Jagannath University, Jaipur (Id: U-0398)",65,26,0,0,0,0,0,0,0,0,0,0,0,0
"Jai Narain Vyas University, Jodhpur (Id: U-0399)",215,78,25,9,15,7,4,0,0,0,0,0,0,0
"Jain university,Bangalore (Id: U-0223)",218,184,3,4,0,0,26,17,0,0,0,0,0,0
"Jain Vishva Bharati Institute, Nagaur (Id: U-0400)",74,48,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"Jai Prakash Vishwavidyalaya, Chapra (Id: U-0066)",64,7,1,0,0,0,11,2,0,0,8,0,0,0
"Jaipur National University, Jaipur (Id: U-0401)",150,73,3,2,4,2,1,0,0,0,0,0,0,0
Jamia Hamdard (Id: U-0107),109,87,0,0,0,0,0,0,2,1,89,52,4,4
Jamia Millia Islamia University (Id: U-0108),515,259,31,14,6,5,6,0,4,1,0,0,0,0
"Jawaharlal Institute of Post Graduate Medical Education & Research, Puducherry (Id: U-0368)",191,65,6,5,1,1,21,7,0,0,0,0,0,0
"Jawaharlal Nehru Centre for Advanced Scientific Research, Banaglore (Id: U-0224)",35,8,1,0,0,0,2,0,1,0,1,0,1,0
"Jawaharlal Nehru Krishi Vishwavidyalaya, Jabalpur (Id: U-0274)",9,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",157,105,21,10,3,1,17,20,1,0,0,2,0,0
"Jawaharlal Nehru Technological University, Hyderabad (Id: U-0017)",33,16,7,4,2,1,5,2,4,1,0,0,0,1
"Jawaharlal Nehru Technological University, Kakinada (Id: U-0015)",79,55,12,9,3,4,20,12,0,0,4,0,0,0
Jawahar Lal Nehru University (Id: U-0109),336,156,22,7,9,4,12,0,8,1,NA,NA,NA,NA
Jawarharlal Nehru Architecture and Fine Art University Hyderabad (Id: U-0018),90,49,8,2,1,0,20,3,0,0,1,0,1,0
"Jaypee Institute of Information Technology, Noida (Id: U-0522)",110,91,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Jaypee University of Engeenering & Technology, Guna (Id: U-0275)",109,15,8,0,0,0,13,1,1,0,2,0,NA,NA
"Jaypee University of Information Technology, Waknaghat, Solan (Id: U-0186)",116,29,0,0,0,0,0,0,0,0,1,2,6,3
"Jiwaji University, Gwalior (Id: U-0276)",121,52,6,5,0,0,16,1,1,0,2,1,0,0
JK LAKSHMIPAT UNIVERSITY (Id: U-0657),22,4,1,0,0,0,2,0,0,0,1,0,0,0
Junagadh Agricultural University (Id: U-0140),162,6,7,0,0,0,23,0,0,0,1,0,2,0
"Kadi Sarva Vishwavidyalaya, Gandihnagar (Id: U-0141)",78,122,0,0,0,0,0,0,0,0,0,0,0,0
"Kakatiya University, Warangal (Id: U-0019)",72,11,15,0,4,1,18,3,0,0,NA,NA,NA,NA
"Kalasalingam Academy of Research and Higher Education, Srivilliputhrur (Id: U-0458)",257,217,7,1,0,0,228,216,0,0,3,0,9,26
"Kalinga Institute of Industrial Technology, Bhubaneswar (Id: U-0356)",490,286,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA
"Kalyani University, Kalyani (Id: U-0576)",198,45,43,2,12,1,3,1,0,0,0,0,0,0
"Kameshwar Singh Darbhanga Sanskrit Vishwavidyalaya, Darbhanga (Id: U-0067)",430,3,1,0,0,0,3,1,0,0,0,0,0,0
"Kannada University, Hampi, Kamalapura (Id: U-0226)",78,9,15,1,8,1,20,2,1,0,1,0,0,0
"Kannur University, Kannur (Id: U-0256)",50,61,1,1,0,0,7,26,0,0,0,0,1,0
Karnataka Sanskrit University (Id: U-0625),2,0,1,0,0,0,0,0,0,0,0,0,0,0
Karnataka State Dr. Gangubai Hangal Music And Performing Arts University (Id: U-0624),15,8,3,0,1,0,4,0,0,0,0,0,0,0
"Karnataka State Law University, Hubli (Id: U-0227)",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Karnataka State Open University, Mysore (Id: U-0228)",65,36,20,8,5,1,35,21,0,0,2,1,0,0
"Karnataka State Women University, Bijapur (Id: U-0229)",33,12,7,3,1,0,7,0,0,0,3,0,0,0
"Karnataka University, Dharwad (Id: U-0230)",181,34,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
"Karnataka Vetrinary, Animal & Fisheries Science University, Nandinagar (Id: U-0231)",5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Karpagam Academy of Higher Education, Coimbatore (Id: U-0459)",196,194,19,13,0,0,163,162,1,1,7,5,9,11
"Karunya Institute of Technology and Sciences, Coimbatore (Id: U-0460)",187,146,0,0,0,0,147,121,1,0,3,1,180,143
"Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya, Ramtek (Id: U-0310)",12,7,0,1,0,0,1,1,0,0,0,0,0,0
"Kerala Agricultural University, Thrissur (Id: U-0257)",143,157,6,5,0,0,42,47,0,0,10,1,15,30
"Kerala Kalamandalam, Thrissur (Id: U-0258)",52,21,2,0,0,0,11,0,0,0,0,0,0,0
"Kerala University of Fisheries & Ocean Studies, Kochi (Id: U-0259)",15,6,0,0,1,0,3,1,0,0,0,0,0,0
KERALA UNIVERSITY OF HEALTH AND ALLIED SCIENCES (Id: U-0630),1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kerala University, Thiruvananthapuram (Id: U-0260)",168,203,13,12,0,1,46,45,0,0,NA,NA,NA,NA
"Kerala Veterinary & Animal Science University, Wayanad (Id: U-0261)",82,93,5,4,0,0,21,15,0,0,0,0,0,0
KING GEORGE MEDICAL UNIVERSITY (Id: U-0523),245,96,50,19,0,0,60,17,0,0,15,1,NA,NA
"K.L.E. Academy of Higher Education and Research, Belgaum (Id: U-0225)",2,3,0,0,0,0,0,0,0,0,0,0,0,0
"Kolhan University, West Singhbhum (Id: U-0206)",25,4,0,0,2,0,0,0,0,0,0,0,0,0
"Koneru Lakshmaiah Education Foundation,Guntur (Id: U-0020)",473,204,67,23,11,0,83,51,0,0,20,12,30,12
"Kota University, Kota (Id: U-0387)",77,48,2,1,1,1,9,4,0,0,5,4,0,0
"Krantiguru Shyamji Krishna Verma Kachchh University, Kachchh (Id: U-0142)",33,17,0,1,0,0,6,3,0,0,2,1,0,0
"Krishna Institute of Medical Sciences Deemed University, Karad (Id: U-0311)",348,200,7,4,3,1,26,13,0,0,0,0,0,0
"Krishna Kanta Hanidique State Open University, Guwahati (Id: U-0054)",16,13,0,0,0,0,3,4,0,0,0,0,0,0
"Krishna University, Machhlipattanam (Id: U-0021)",13,10,2,2,0,1,1,2,0,0,0,0,0,0
"Kumaun University, Nainital (Id: U-0562)",186,89,31,15,10,8,0,1,0,0,0,0,0,0
"Kurukshetra University, Kurukshetra (Id: U-0164)",286,118,19,3,0,0,9,2,1,0,0,0,0,0
"Kushabhau Thakre Patrakarita Avam Jansanchar Vishwavidyalaya, Raipur (Id: U-0089)",13,0,0,0,1,0,0,0,0,0,1,0,0,0
"Kuvempu University, Shankaraghatta, Shimoga (Id: U-0232)",99,11,28,1,12,0,14,2,0,0,8,0,0,0
"Lakshmibai National Institute of Physical Education, Gwalior (Id: U-0277)",43,11,1,0,0,0,4,0,0,0,0,0,0,0
Lala lajpat Rai University of Veterinary and Animal Sciences (Id: U-0165),120,17,0,0,0,0,8,0,1,0,1,0,0,0
"Lalit Narayan Mithila University, Darbhanga (Id: U-0068)",94,16,0,0,0,0,0,0,0,0,5,0,0,0
"Lingaya's University, Faridabad (Id: U-0166)",111,67,0,0,0,0,0,0,0,0,3,2,0,0
"LNM Institute of Information Technology, Jaipur (Id: U-0405)",42,9,0,0,0,0,0,0,0,0,0,0,0,0
"Lovely Professional University, Jullunder (Id: U-0379)",1186,612,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
"Madras University, Chennai (Id: U-0462)",185,49,38,9,8,0,101,28,4,2,3,0,10,0
"Madurai Kamraj University, Madurai (Id: U-0463)",173,49,32,8,1,0,115,32,3,3,3,0,5,4
"Magadh University, Bodh Gaya (Id: U-0069)",96,11,1,0,0,0,28,2,0,0,4,0,0,0
Mahamaya Technical University (Id: U-0526),1,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Maharaja Ganga Singh University, Bikaner (Id: U-0406)",14,9,0,0,0,0,0,0,0,0,0,0,0,0
Maharaja Krishnakumarsinhji Bhavnagar University (Id: U-0124),44,3,3,0,3,0,8,0,0,0,1,0,0,0
"Maharaja Sayajirao University of Baroda, Vadodara (Id: U-0143)",434,207,9,2,2,0,19,4,0,0,13,3,0,0
"Maharana Pratap University of Agriculture & Technology, Udaipur (Id: U-0407)",135,25,4,0,1,0,15,1,0,0,3,0,0,0
"Maharashi Markandeshwar University, Solan (Id: U-0187)",38,13,5,0,0,0,0,0,0,0,0,0,0,0
"MAHARASHI MARKENDESHWAR UNIVERSITY, SADOPUR-AMBALA (Id: U-0641)",32,21,0,0,0,0,1,1,0,0,0,0,0,0
"Maharashtra Animal & Fishery Sciences University, Nagpur (Id: U-0312)",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maharashtra University of Health Sciences, Nashik (Id: U-0313)",11,7,2,0,0,0,0,0,0,0,0,0,0,0
"Maharishi Dayanand Saraswati University, Ajmer (Id: U-0408)",34,15,2,0,1,0,3,0,0,0,0,0,0,0
"Maharishi Mahesh Yogi Vedic Vishwavidyalaya, Jabalpur (Id: U-0280)",42,18,0,0,0,0,4,3,0,0,0,0,0,0
"Maharishi Markandeshwar University, Mullana-Ambala (Id: U-0168)",744,364,0,0,0,0,0,0,0,0,0,0,0,0
"Maharishi Panini Sanskrit Vishwavidyalaya, Ujjain (Id: U-0281)",9,6,0,0,0,0,0,0,0,0,0,0,0,0
"Maharishi University of Management and Technology, Bilaspur (Id: U-0090)",5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maharshi Dayanand University, Rohtak (Id: U-0167)",233,161,27,18,0,0,9,4,1,1,1,0,0,0
"Mahatama Gandhi Antarrashtriya Hindi Vishwavidyalaya, Wardha (Id: U-0314)",47,8,7,1,1,1,8,2,1,0,3,0,0,0
"Mahatama Gandhi Gramodaya Vishwavidyalaya, Chitrakoot, Satna (Id: U-0282)",64,8,0,0,1,0,3,3,1,0,0,0,0,0
"Mahatama Jyotiba Phule Rohikhand University, Bareilly (Id: U-0525)",117,29,17,1,0,0,23,5,0,0,1,0,0,0
"Mahatma Gandhi Kashi Vidyapeeth, Varanasi (Id: U-0527)",120,24,12,4,0,0,7,3,0,0,0,0,0,0
"Mahatma Gandhi University, Kottayam (Id: U-0262)",80,31,4,4,0,0,27,14,1,0,5,3,5,0
"Mahatma Gandhi University, Tura, West Garo Hills (Id: U-0339)",30,5,2,0,0,0,1,0,0,0,2,0,0,0
"Mahatma Jyoti Rao Phoole University, Jaipur (Id: U-0409)",72,100,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
"Mahatma Phule Krishi Vidyapeeth, Rahuri (Id: U-0315)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Makhanlal Chaturvedi National University of Journalism and Communication, Bhopal (Id: U-0283)",20,7,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Malviya National Institute of Technology, Jaipur (Id: U-0410)",117,30,5,2,4,0,0,0,2,0,3,0,0,1
"Manav Bharti University, Sultanpur, Solan (Id: U-0188)",57,42,0,3,0,0,0,1,0,0,0,0,0,0
"Manav Rachna International University, Faridabad (Id: U-0169)",157,217,0,1,0,0,0,1,0,0,0,0,0,0
"Mangalayatan University, Aligarh (Id: U-0528)",131,56,3,0,0,0,9,3,0,0,1,0,6,0
"Mangalore University, Mangalore (Id: U-0233)",98,24,29,5,10,4,36,8,1,0,6,3,3,0
"Manipal Academy of Higher Education, Manipal (Id: U-0234)",31,12,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Manipur University, Imphal (Id: U-0337)",129,45,4,2,4,0,6,2,0,0,1,0,3,0
"Manonmaniam Sundaranar University, Tirunelveli (Id: U-0464)",124,47,27,11,0,0,77,29,0,0,1,0,8,1
"Marathwada Agricultural University, Parbhani (Id: U-0316)",3,0,0,0,0,0,1,0,0,0,0,0,0,0
"Martin Luther Christian University, Shillong (Id: U-0340)",38,54,0,0,38,54,0,0,0,0,0,0,0,0
"MATS University, Raipur (Id: U-0091)",71,39,2,0,2,0,20,6,1,0,1,0,4,4
"Maulana Azad National Institute of Technology, Bhopal (Id: U-0284)",142,48,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
"Maulana Azad National Urdu University, Hyderabad (Id: U-0023)",184,63,24,2,10,0,8,2,3,2,153,61,3,0
"Maulana Mazharul Haque Arabic & Persian University, Patna (Id: U-0070)",58,26,0,0,0,0,0,0,0,0,39,16,0,0
"Meenakshri Academy of Higher Education and Research, Chennai (Id: U-0465)",307,183,12,4,4,0,99,56,0,0,0,0,0,0
"MGM Institute of Health Sciences, Navi Mumbai (Id: U-0317)",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"M.G.R. Educational and Research Institute, Chennai (Id: U-0461)",294,262,34,24,9,6,172,151,4,0,0,0,2,2
"Mizoram University, Aizwal (Id: U-0345)",102,37,6,5,38,23,10,4,1,0,1,0,38,23
"Mody Institute of Technology & Science, Sikar (Id: U-0412)",131,62,0,0,0,0,0,0,0,0,0,0,NA,NA
"Mohan Lal Sukhadia University, Uaipur (Id: U-0413)",110,42,12,0,4,0,5,5,0,0,0,0,0,0
MONAD UNIVERSITY (Id: U-0644),66,19,3,3,0,0,13,1,0,0,0,0,0,0
"Mother Teresa Women's University, Kodaikanal (Id: U-0466)",0,56,0,7,0,0,0,45,0,0,0,2,0,11
"Motilal Nehru Institute of Technology, Allahabad (Id: U-0530)",168,36,8,1,1,0,10,3,0,0,4,1,0,0
"M.P. Bhoj (Open) University, Bhopal (Id: U-0278)",14,11,0,1,0,0,0,0,0,0,0,2,0,0
Mumbai University Mumbai (Id: U-0318),173,145,44,31,3,3,9,2,2,0,2,4,2,5
"Mysore University, Mysore (Id: U-0235)",241,67,1,2,0,0,0,0,0,0,0,0,0,0
"Nagaland University, Kohima (Id: U-0347)",106,29,8,0,41,27,9,0,0,0,0,0,32,22
"Nalanda Open University, Patna (Id: U-0071)",344,78,0,0,0,0,4,0,0,0,0,0,0,0
"Narsee Monjee Institute of Management Studies, Mumbai (Id: U-0319)",348,231,5,2,1,0,4,1,0,0,NA,NA,NA,NA
National Academy of Legal Studies & Research (NALSR) University Hyderabad (Id: U-0024),19,7,1,0,0,0,0,0,0,0,0,0,0,0
"National Brain Research Centre, Gurgaon (Id: U-0170)",11,3,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"National Dairy Research Institute, Karnal (Id: U-0171)",130,22,8,0,5,2,10,0,0,0,0,0,0,0
"National Institute of Fashion Technology, Hauz Khas (Id: U-0110)",2,8,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0
"National Institute of Mental Health & Neuro Sciences, Bangalore (Id: U-0236)",98,67,10,9,2,0,13,7,1,0,1,0,NA,NA
"National Institute of Pharmaceutical, Educational and Research, Mohali (Id: U-0380)",25,6,0,1,1,0,0,0,0,0,0,0,0,0
"National Institute of Technology, Agartala (Id: U-0493)",97,15,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1
National Institute of Technology Arunachal Pradesh (Id: U-0615),18,4,1,0,2,3,0,0,0,0,0,0,0,0
"National Institute of Technology, Calicut (Id: U-0263)",151,54,11,9,5,0,24,6,1,0,4,0,8,0
National Institute of Technology Delhi (Id: U-0622),0,0,0,0,0,0,0,0,0,0,0,0,0,0
"National Institute of Technology, Durgapur (Id: U-0577)",149,20,20,3,0,0,13,0,1,0,1,0,0,0
National Institute of Technology Goa (Id: U-0620),1,0,0,0,0,0,0,0,0,0,0,0,0,0
"National Institute of Technology, Hamirpur (Id: U-0189)",116,22,9,1,1,0,0,0,0,0,1,0,1,0
"National Institute of Technology, Jamshedpur (Id: U-0207)",127,6,3,2,2,0,0,0,0,0,1,0,0,0
"National Institute of Technology, Karnataka (Id: U-0237)",195,26,22,2,5,1,25,9,0,0,10,1,0,0
"National Institute of Technology, Kurukshetra (Id: U-0172)",98,18,4,0,0,0,4,1,0,0,1,0,5,0
National Institute of Technology Manipur (Id: U-0613),7,3,1,0,1,0,0,1,0,0,0,0,0,0
National Institute of Technology Meghalaya (Id: U-0619),0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Institute of Technology Mizoram (Id: U-0617),8,2,0,1,0,1,4,0,0,0,1,0,0,1
National Institute of Technology Nagaland (Id: U-0618),6,1,0,0,2,0,0,0,0,0,0,0,0,0
"National Institute of Technology, Patna (Id: U-0072)",52,5,6,0,0,0,3,1,0,0,1,0,0,0
National Institute of Technology Puducherry (Id: U-0621),16,5,0,0,0,0,0,0,0,0,0,0,0,0
"National Institute of Technology, Raipur (Id: U-0092)",74,18,9,0,2,0,15,2,1,0,1,1,1,0
"National Institute of Technology, Rourkela (Id: U-0357)",189,23,5,3,1,0,0,0,0,0,4,1,1,0
National Institute of Technology Sikkim (Id: U-0614),11,3,1,2,0,0,3,0,0,0,2,0,1,0
"National Institute of Technology, Silchar (Id: U-0055)",71,12,10,0,2,0,4,1,0,0,9,1,0,0
"National Institute of Technology, Srinagar (Id: U-0197)",68,16,0,0,0,0,0,0,0,0,61,10,0,0
"National Institute of Technology, Tiruchirapalli (Id: U-0467)",212,68,0,0,0,0,0,0,0,0,NA,NA,0,0
National Institute of Technology Uttarakhand (Id: U-0616),18,5,0,0,0,0,0,0,0,0,0,0,0,0
"National Institute of Technology, Warangal (Id: U-0025)",182,22,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"National Law Institute University, Bhopal (Id: U-0285)",23,3,0,0,0,0,0,0,1,0,2,0,0,0
"National Law School of India University, Bangalore (Id: U-0238)",29,8,0,0,0,0,0,0,0,0,0,0,NA,NA
"National Law University, Cuttuck (Id: U-0358)",11,5,0,0,0,0,0,0,0,0,4,0,0,0
"National Law University, Delhi (Id: U-0111)",11,9,1,0,0,0,2,0,1,0,NA,NA,NA,NA
"National Law University, Jodhpur (Id: U-0414)",24,18,0,0,0,0,0,0,0,0,0,0,0,0
"National Museum Institute of Hisotry of Art Conservation and Musicology, Janpath,N.D. (Id: U-0112)",3,3,0,0,0,0,0,0,0,0,0,0,0,0
"National University of Advanced Legal Studies, Kochi (Id: U-0264)",9,3,1,0,0,0,1,1,1,0,0,0,0,1
"National University of Education, Planning & Administration, New Delhi (Id: U-0114)",13,20,1,1,0,0,0,1,0,0,1,2,0,0
"National University of Study & Research in Law, Ranchi (Id: U-0600)",9,3,0,0,0,0,1,0,0,0,NA,NA,NA,NA
"Nava Nalanda Mahavihara, Nalanda (Id: U-0073)",20,1,0,0,0,0,2,0,0,0,0,0,0,0
Navrachana University (Id: U-0144),16,37,0,0,0,0,0,0,0,0,0,0,0,0
Navsari Agricultural University (Id: U-0145),1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nehru Gram Bharati, Allahabad (Id: U-0532)",90,24,5,0,0,0,7,1,0,0,3,0,0,0
"Netaji Subhash Open University, Kolkata (Id: U-0578)",13,5,0,1,0,0,0,0,0,0,0,0,0,0
"Nilamber-Pitamber University, Palamu (Id: U-0208)",21,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"NIMS University, Jaipur (Id: U-0415)",600,142,0,0,1,0,0,0,3,0,16,0,22,2
"Nirma University, Ahmedabad (Id: U-0146)",1,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"NITTE Unversity, Mangalore (Id: U-0239)",301,195,0,1,0,0,34,60,0,0,1,0,2,1
"Noorul Islam Centre for Higher Education, Kanyakumari (Id: U-0468)",179,109,5,1,0,0,139,94,1,0,6,4,56,51
"North Bengal University, Darjeeling (Id: U-0579)",166,37,35,0,4,1,1,0,1,0,4,0,0,0
"North Eastern Hill University, Shillong (Id: U-0341)",221,97,11,2,48,57,4,4,5,0,6,1,1,0
"North Eastern Regional Institute of Science & Technology, Papum Pare, Itanagar (Id: U-0046)",110,22,5,0,10,6,16,4,0,0,0,0,0,0
"North Maharashtra University, Jalgaon (Id: U-0320)",14,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"North Orissa University, Mayurbhanj (Id: U-0359)",66,13,2,0,2,0,10,2,0,0,0,0,0,0
"O. P. Jindal Global University, Sonipat (Id: U-0173)",36,16,0,0,0,0,0,0,0,0,0,0,0,0
ORIENTAL UNIVERSITY (Id: U-0662),72,34,0,0,0,0,0,0,0,0,0,0,0,0
"Orissa University of Agriculture & Technology, Bhubaneswar (Id: U-0360)",229,54,0,3,0,0,0,0,0,0,0,0,0,0
"Osmania University, Hyderabad (Id: U-0027)",406,154,72,31,37,1,113,26,1,3,13,7,0,1
"Padmashree Dr. D. Y. Patil Vidyapeeth, , Mumbai (Id: U-0321)",311,347,19,30,2,3,13,13,1,1,4,4,1,10
"Palamuru University, Mahabubnagar (Id: U-0028)",27,21,8,1,0,0,8,12,0,2,2,0,0,0
"Pandhi Dwarka Prasad Mishra Indian Institute of Information Technology & Manufacturing , Jabalpur (Id: U-0286)",28,4,1,0,0,0,1,0,0,0,1,0,0,0
"Pandit Deendayal Petroleum University, Gandhi Nagar (Id: U-0147)",81,6,0,0,0,0,0,0,0,0,1,0,0,0
"Panjab University,Chandigarh (Id: U-0078)",433,440,37,29,4,3,0,0,4,0,0,0,NA,NA
"Patna University, Patna (Id: U-0074)",118,25,6,0,1,0,19,2,1,0,6,0,0,0
"PEC University of Technology, Chandigarh (Id: U-0080)",68,39,13,4,0,1,9,1,1,0,1,0,8,8
PEOPLES UNIVERSITY (Id: U-0655),457,252,21,6,2,6,24,15,0,0,0,0,14,6
"Periyar Maniammal Institute of Science & Technoloyg, Thanjavur (Id: U-0469)",191,154,25,18,2,0,159,135,2,0,5,7,5,6
"Periyar University, Salem (Id: U-0470)",77,34,19,4,0,0,37,19,0,0,0,0,1,1
"Pondicherry Univeristy, Puducherry (Id: U-0369)",267,94,47,6,14,3,123,38,9,2,0,0,0,0
"Ponnaiyah Ramajayam Institute of Science & Technology, Thanjavur (Id: U-0471)",94,64,19,19,1,1,50,18,0,0,1,1,92,63
"Pravara Institute of Medical Sciences, Ahmednagar (Id: U-0322)",236,99,12,8,2,1,29,10,1,0,3,2,3,2
Presidency University (Id: U-0580),95,42,2,1,0,0,0,0,0,0,0,0,0,0
"Pt. Bhagat Dyal University of Health Science, Rohtak (Id: U-0174)",414,1,16,0,0,0,56,0,0,0,NA,NA,NA,NA
"Pt. Ravishankar Shukla University, Raipur (Id: U-0093)",72,29,8,4,2,4,22,4,0,0,1,0,0,0
"Pt. Sundarlal Sharma (Open) University, Bilaspur (Id: U-0094)",1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA
"Pune University, Pune (Id: U-0323)",167,109,35,8,8,4,32,10,1,0,NA,NA,NA,NA
"Punjab Agricultural University, Ludhiana (Id: U-0381)",384,236,8,3,0,0,5,0,0,0,3,0,36,54
"Punjabi University, Patiala (Id: U-0383)",306,192,43,27,3,3,1,0,0,0,0,0,0,0
"Punjab Technical University, Jalandhar (Id: U-0382)",10,10,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"Rabindra Bharati University, Kolkata (Id: U-0581)",91,54,15,11,1,0,6,0,1,0,0,1,0,0
RAFFLLES UNIVERSITY (Id: U-0640),17,4,0,0,0,0,3,1,0,0,0,0,0,0
"Raja Mansingh Tomar Music & Arts University, Gwalior (Id: U-0629)",19,12,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"Rajasthan Ayurveda University, Jodhpur (Id: U-0418)",1,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Rajasthan Technical University, Kota (Id: U-0419)",65,12,4,0,1,1,10,2,0,0,0,0,0,0
"Rajasthan University, Jaipur (Id: U-0422)",282,179,NA,NA,NA,NA,NA,NA,0,0,7,4,0,0
"Rajasthan University of Health Sciences, Jaipur (Id: U-0420)",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rajasthan University of Veterinary and Animal Sciences, Bikaner (Id: U-0421)",400,28,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Rajendra Agricultural University, Samastipur (Id: U-0075)",187,37,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
"Rajiv Gandhi Institute of Petroleum Technology, Rae Bareli (Id: U-0535)",29,2,0,0,0,0,4,0,0,0,0,0,0,0
"Rajiv Gandhi National Instiute of Youth Development, Sriperumbudur (Id: U-0472)",16,16,1,2,0,1,4,3,0,0,0,0,0,0
"Rajiv Gandhi Prodoyogiki Vishwavidyalaya, Bhopal (Id: U-0287)",25,7,4,0,1,0,1,0,0,0,2,0,0,0
