Institution,Caste-Category - Total - Male,Caste-Category - Total - Female,Caste-Category - SC - Male,Caste-Category - SC - Female,Caste-Category - ST - Male,Caste-Category - ST - Female,Caste-Category - OBC - Male,Caste-Category - OBC - Female,Out of Total - PWD - Male,Out of Total - PWD - Female,Out of Total - Muslim - Male,Out of Total - Muslim - Female,Out of Total - Other Minority Communities - Male,Out of Total - Other Minority Communities - Female
"Indian Institute of Science Education & Research (IISER), Kolkata, (Id: U-0572)",70,11,2,0,0,0,2,0,0,0,1,0,1,0
"Indian Institute of Science Education & Research (IISER), Mohali (Id: U-0377)",35,9,0,0,0,0,2,0,1,0,0,0,3,1
"Indian Institute of Science Education & Research (IISER), Pune, (Id: U-0305)",53,7,0,0,0,0,4,0,0,0,0,0,0,0
"Indian Institute of Science Education & Research (IISER), Thiruvananthapuram (Id: U-0254)",23,3,0,0,0,0,0,0,0,0,0,0,4,0
"Indian Institute of Space Science and Technology, Thiruvananthapuram (Id: U-0255)",54,24,0,0,0,0,0,0,0,0,0,0,0,0
"INDIAN INSTITUTE OF TEACHER EDUCATION, GANDHINAGAR (Id: U-0664)",5,4,0,1,0,0,0,0,0,0,0,0,0,0
"Indian Institute of Technology, Bhubaneshwar (Id: U-0355)",45,6,1,0,0,0,4,0,0,0,0,0,0,0
"Indian Institute of Technology, Chennai (Id: U-0456)",425,58,10,0,1,0,0,0,0,0,0,0,0,0
"Indian Institute of Technology, Delhi (Id: U-0100)",377,71,1,1,0,0,2,1,0,0,0,0,0,0
"Indian Institute of Technology, Gandhinagar (Id: U-0139)",29,11,0,0,0,0,3,0,0,0,0,1,1,1
"Indian Institute of Technology, Guwahati (Id: U-0053)",261,32,0,0,0,0,0,0,0,0,0,0,0,0
"Indian Institute of Technology, Hyderabad (Id: U-0013)",58,7,2,1,0,0,9,2,0,0,0,0,0,0
"Indian Institute of Technology, Indore (Id: U-0273)",33,6,0,0,0,0,2,0,0,0,1,0,2,0
"Indian Institute of Technology, Jodhpur (Id: U-0395)",37,2,1,0,0,0,1,0,0,0,0,0,0,0
"Indian Institute of Technology, Kaharagpur (Id: U-0573)",464,51,6,1,0,0,9,0,2,0,2,0,3,0
"Indian Institute of Technology, Kanpur (Id: U-0517)",329,28,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA
"Indian Institute of Technology, Mandi (Id: U-0184)",28,6,0,0,0,0,1,1,0,1,1,0,3,0
"Indian Institute of Technology, Mumbai (Id: U-0306)",470,57,0,0,0,0,0,0,0,0,1,0,2,0
"Indian Institute of Technology, Patna (Id: U-0064)",97,4,3,0,0,0,8,2,1,0,10,0,0,0
"Indian Institute of Technology, Roorkee (Id: U-0560)",327,46,9,0,2,0,32,2,0,0,0,0,1,0
"Indian Institute of Technology, Ropar (Id: U-0378)",37,8,0,0,0,0,2,0,1,0,0,0,3,1
"Indian Law Institute, Bhagwandas Road, New Delhi (Id: U-0103)",1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
Indian Maritime University (Id: U-0457),46,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"Indian School of Mines, Dhanbad (Id: U-0205)",188,14,16,5,1,0,32,0,4,0,4,0,4,0
"Indian Statistical Institute, Kolkata (Id: U-0574)",124,27,0,0,0,0,2,0,0,0,0,0,0,0
"Indian Veterinary Research Institute, Izatnagar (Id: U-0518)",218,11,6,0,1,0,14,1,0,0,0,0,0,0
"Indira Gandhi Institute of Development Research, Mumbai (Id: U-0307)",21,5,0,0,0,0,0,0,0,0,0,0,0,0
"Indira Gandhi Institute of Medical Sciences, Patna (Id: U-0065)",27,3,0,0,0,0,0,0,0,0,0,0,0,0
