Sr. No.,State Name,University District,Univesity Name / Body Type,Institution District,College/Stand Alone Institution,Student Enrolment - Male,Student Enrolment - Female,Student Enrolment - Total,Teaching Staff (Excluding - Male),Teaching Staff (Excluding - Female),Teaching Staff (Excluding - Total),PTR (Equal to 9/12)
193,Andhra Pradesh,Visakhapatnam,College Institution,Visakhapatnam,Sri Murali Krishna Degree College,77,43,120,7,6,13,9
194,Andhra Pradesh,Visakhapatnam,College Institution,Visakhapatnam,"Sri Adi Narayana Mahila Kalasala, Anakapalle",102,102,204,0,6,6,34
195,Andhra Pradesh,Srikakulam,College Institution,Srikakulam,SSR COLLAGE OF EDUCATTION,100,43,143,6,1,7,20
196,Andhra Pradesh,Guntur,College Institution,Guntur,Krishnaveni Degree College,301,162,463,25,3,28,16
197,Andhra Pradesh,East Godavari,College Institution,Visakhapatnam,"Gayatri Vidya Parishad College of Engineering for Women, Madhurawada, PIN-530048(CC-JG)",1285,1285,2570,27,34,61,42
198,Andhra Pradesh,Guntur,College Institution,Guntur,Sri Vasavi Kanyaka Parameswari Degree College,330,78,408,12,1,13,31
199,Andhra Pradesh,Guntur,College Institution,Prakasam,S.G.V. Oriental College,53,27,80,5,2,7,11
200,Andhra Pradesh,Anantapur,College Institution,Kurnool,"RGM Group of Institutions, Nandyal",3070,1007,4077,210,53,263,15
201,Andhra Pradesh,East Godavari,College Institution,Krishna,"Gudlavalleru Engineering College, Seshadri Rao Knowledge Village, Gudlavalleru, PIN-521356(CC-48)",3088,1170,4258,146,71,217,19
202,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,"St. Marys Degree College, Bucchireddypalem",341,170,511,20,8,28,18
203,Andhra Pradesh,Visakhapatnam,College Institution,West Godavari,CH.V.P.M.R. GOVT. DEGREE COLLEGE,135,68,203,15,5,20,10
204,Andhra Pradesh,East Godavari,College Institution,West Godavari,"Muttamsetty Venkata Narayana Institute of Management Studies and Research, Vegavaram, PIN-534447(CC-7G)",91,23,114,8,10,18,6
205,Andhra Pradesh,East Godavari,College Institution,Guntur,"Nalanda Institute of Technology., Siddarth Nagar, Kantepudi(V), Sattenapalli(M), PIN-522 438(CC-KG)",643,162,805,81,39,120,6
206,Andhra Pradesh,Srikakulam,College Institution,Srikakulam,SRI SAI DEGREE COLLEGE,174,85,259,7,5,12,21
207,Andhra Pradesh,Anantapur,College Institution,Chittoor,"Sri Venkaresa Perumol College of Engineering and Technology, Puttur",1724,486,2210,88,42,130,17
208,Andhra Pradesh,Anantapur,College Institution,Chittoor,"Aditya College of Engineering, Madanapalle",429,145,574,24,9,33,17
209,Andhra Pradesh,Visakhapatnam,College Institution,Visakhapatnam,Gandi Institute of Technology and Management,384,88,472,21,15,36,13
210,Andhra Pradesh,Guntur,College Institution,Guntur,N.R.K and K.S.R Gupta College of Pharmacy,60,26,86,15,4,19,4
211,Andhra Pradesh,Anantapur,College Institution,Sri Potti Sriramulu Nellore,"Gokulakrishna College of Engineering, Sullerpet",1875,516,2391,90,58,148,16
212,Andhra Pradesh,Visakhapatnam,College Institution,West Godavari,K.A. and H.L. DEGREE COLLEGE,279,61,340,16,2,18,18
213,Andhra Pradesh,Anantapur,College Institution,Sri Potti Sriramulu Nellore,Priyadarshini College of Engineering Technology,1244,613,1857,36,17,53,35
214,Andhra Pradesh,Visakhapatnam,College Institution,East Godavari,V.S.M.College,1731,628,2359,35,9,44,53
215,Andhra Pradesh,East Godavari,College Institution,Prakasam,"Dr. Samuel George Institute of Engineering and Technology, George Town, Darimadugum,(Post and Village) , Markapur(M), PIN-523 316.(CC-35)",1424,291,1715,143,29,172,9
216,Andhra Pradesh,Guntur,College Institution,Prakasam,Sai Chaitanya Degree College Giddalur,334,143,477,5,8,13,36
217,Andhra Pradesh,Anantapur,College Institution,Kurnool,"Santhiram Engineering College, Nandyal",1427,628,2055,71,44,115,17
218,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,"V.R.College, Nellore",1627,348,1975,44,15,59,33
219,Andhra Pradesh,East Godavari,College Institution,Prakasam,"S.S.N. Engineering College, Kurnool Road, S.N. Padu , Ongole- 523225(CC-7X)",1763,459,2222,114,18,132,16
220,Andhra Pradesh,Guntur,College Institution,Guntur,Lakshmi Narsimha College of Education,93,47,140,6,2,8,17
221,Andhra Pradesh,Anantapur,College Institution,Y.S.R.,"Annamacharya Institute of Technology And Sciences, Chinthakomma Dinne",358,70,428,21,15,36,11
222,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,"Dr. SRJ Degree College, Atmakur",383,168,551,24,2,26,21
223,Andhra Pradesh,Y.S.R.,College Institution,Y.S.R.,Hannamma Christial College of Education,79,37,116,4,3,7,16
224,Andhra Pradesh,Srikakulam,College Institution,Srikakulam,KOWMADI DEGREE COLLEGE,281,124,405,17,2,19,21
225,Andhra Pradesh,Kurnool,College Institution,Kurnool,"Sri Pulloji Rao College of Education, Nandyal",100,54,154,8,0,8,19
226,Andhra Pradesh,NA,College Institution,Krishna,"Dr. C. Sobhanadri Siddhartha College of Nursing, Gannavaram",298,298,596,0,38,38,15
227,Andhra Pradesh,Anantapur,College Institution,Kurnool,"Bheema Institute of Technology and Sciences, Adoni",679,213,892,71,11,82,10
228,Andhra Pradesh,East Godavari,College Institution,East Godavari,"Chaitanya Institute of Computer Sciences, 69-3A-19, Chaitanya Nagar, S.B.H.Colony, Kakinada(CC-2N)",163,81,244,17,10,27,9
229,Andhra Pradesh,Kurnool,College Institution,Kurnool,"Sri Sai MBA College, Nandikotkur",69,4,73,8,1,9,8
230,Andhra Pradesh,Guntur,College Institution,Prakasam,V.R.S. and Y.R.N. College,925,243,1168,67,19,86,13
231,Andhra Pradesh,East Godavari,College Institution,Guntur,"Vignan Pharmacy College, Vadlamudi Post, Chebrolu Mandalam, PIN- 522 213(CC-AB)",318,201,519,12,11,23,22
232,Andhra Pradesh,Guntur,College Institution,Prakasam,Navya Chaitanya College of Education,100,58,158,7,3,10,15
233,Andhra Pradesh,Guntur,College Institution,Prakasam,"Sri Vivekananda Degree College, Podili",394,116,510,23,1,24,21
234,Andhra Pradesh,Krishna,College Institution,Krishna,CHAITANYA DEGREE and PG COLLEGE,125,73,198,6,6,12,16
235,Andhra Pradesh,Anantapur,College Institution,Kurnool,"Bheemi Reddy Institute of Management Science, Adoni",173,53,226,36,12,48,4
236,Andhra Pradesh,Guntur,College Institution,Guntur,Fatima College of Education,97,58,155,7,1,8,19
237,Andhra Pradesh,Anantapur,College Institution,Y.S.R.,K.S.R.M. College of Engineering (MBA),238,72,310,18,14,32,9
238,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,"Sri Sai Ram Institute of P.G.Studies, Near Tapatopu, Kodavalur",117,18,135,13,7,20,6
239,Andhra Pradesh,Chittoor,College Institution,Chittoor,"Sri Vijetha Degree College, Chittor Urban",624,286,910,13,3,16,56
240,Andhra Pradesh,Visakhapatnam,College Institution,East Godavari,S.R.V.B.S.J.B.Maharani College,1039,306,1345,24,7,31,43
241,Andhra Pradesh,Guntur,College Institution,Guntur,Anitha Venkateswara College of Eduation,95,47,142,5,3,8,17
242,Andhra Pradesh,Visakhapatnam,College Institution,West Godavari,MATTREDDY DEGREE COLLEGE,143,71,214,17,0,17,12
243,Andhra Pradesh,East Godavari,College Institution,Krishna,"VKR, VNB and AGK COLLEGE OF ENGINEERING, ELURU ROAD, GUDIVADA, PIN - 521301 (CC-NH)",1165,531,1696,67,20,87,19
244,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,"SPBVD Degree College, Podalakur",239,82,321,9,2,11,29
245,Andhra Pradesh,NA,College Institution,Chittoor,"CKS Teja Institute of Dental Sciences and Research, Tirupati",423,249,672,56,27,83,8
246,Andhra Pradesh,East Godavari,College Institution,Krishna,"Amrita Sai Institute of Science and Technology, Amrita Sai Nagar, Paritala (PO), Kanchikacherla (MD), PIN-521180 (CC-AJ)",1498,533,2031,59,21,80,25
247,Andhra Pradesh,Krishna,College Institution,Krishna,SRI BALASAI DEGREE COLLEGE,839,468,1307,23,12,35,37
248,Andhra Pradesh,Guntur,College Institution,Prakasam,Asha College of Education,100,49,149,6,1,7,21
249,Andhra Pradesh,Guntur,College Institution,Guntur,"Chirala College of PG Studies, Chirala",74,42,116,5,4,9,12
250,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,"Aaditya PG College, Nellore",96,32,128,4,5,9,14
251,Andhra Pradesh,Visakhapatnam,College Institution,East Godavari,Kakinada College Of Education,100,55,155,3,5,8,19
252,Andhra Pradesh,Srikakulam,College Institution,Srikakulam,SRI SAKETI SATYANARAYANA DEGREE COLLEGE,489,206,695,18,2,20,34
253,Andhra Pradesh,Srikakulam,College Institution,Srikakulam,RANGUMUDRI COLLEGE OF EDUCATION,100,48,148,6,3,9,16
254,Andhra Pradesh,Guntur,College Institution,Prakasam,"Sri Harsha's Womens Degree College, Cumbum",0,0,0,9,4,13,13
255,Andhra Pradesh,Srikakulam,College Institution,Srikakulam,VIDYADHARI COLLEGE OF EDUCATION,99,56,155,8,0,8,19
256,Andhra Pradesh,Guntur,College Institution,Guntur,S.M.P.A. Degree College,137,55,192,9,4,13,14
257,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,"Jawahar Bharathi Degree College, Kavali",1452,612,2064,29,4,33,62
258,Andhra Pradesh,Srikakulam,College Institution,Srikakulam,SARADA DEGREE COLLEGE,249,49,298,15,2,17,17
259,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,"Jawahar Bharati Degree and PG College, Kavali",264,127,391,6,4,10,39
260,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,"Vivekananda Degree College, Nellore",688,311,999,22,5,27,37
261,Andhra Pradesh,Chittoor,College Institution,Chittoor,"Emeralds Degree College, Tirupati Urban",1063,467,1530,31,3,34,45
262,Andhra Pradesh,Srikakulam,College Institution,Srikakulam,SRI VENKATESWARA COLLEGE OF EDUCATION,100,60,160,7,1,8,20
263,Andhra Pradesh,East Godavari,College Institution,Guntur,"Vignan's Nirula Institute of Technology and Science for Women, Vign avenue, Palakaluru Road , PIN-522 005(CC-NN)",1466,1466,2932,60,51,111,26
264,Andhra Pradesh,Anantapur,College Institution,Y.S.R.,Balaji Institute of I.T and Management,104,20,124,12,3,15,8
265,Andhra Pradesh,Srikakulam,College Institution,Srikakulam,S.L.T.N DEGREE COLLEGE,199,121,320,13,4,17,18
266,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,Vignan Degree CollegePodalakur,224,133,357,8,0,8,44
267,Andhra Pradesh,NA,College Institution,Krishna,"VIMS College of Physiotheraphy, Vijayawada",129,65,194,2,2,4,48
268,Andhra Pradesh,Anantapur,College Institution,Y.S.R.,"Chaitanya Bharathi Institute of Technology, Proddutur",743,406,1149,42,26,68,16
269,Andhra Pradesh,Anantapur,College Institution,Anantapur,Anantha lakshmi Engineering college,1363,453,1816,58,29,87,20
270,Andhra Pradesh,Srikakulam,College Institution,Srikakulam,ABHYUDAYA DEGREE COLLEGE,222,51,273,18,0,18,15
271,Andhra Pradesh,Anantapur,College Institution,Chittoor,"Sri Vidyaniketan College of Pharmacy, Sri Sainath Nagar,A .Rangam pet Tirupathi",221,120,341,22,16,38,8
272,Andhra Pradesh,East Godavari,College Institution,Prakasam,"Rao and Naidu Engineering College, Near South Bypass Cross Roads, Ongle-523001(CC-77)",1356,421,1777,81,36,117,15
273,Andhra Pradesh,Anantapur,College Institution,Chittoor,"Mahati College of Pharmacy, Madanaplle",92,48,140,9,6,15,9
274,Andhra Pradesh,Guntur,College Institution,Guntur,"Sweekaar Degree College, Guntur",46,22,68,2,5,7,9
275,Andhra Pradesh,Visakhapatnam,College Institution,Vizianagaram,BSNM College of Education,100,56,156,5,4,9,17
276,Andhra Pradesh,Srikakulam,College Institution,Srikakulam,"SRI SAI DEGREE COLLEGE, BABDUJIBDA (V)",68,19,87,9,0,9,9
277,Andhra Pradesh,Visakhapatnam,College Institution,East Godavari,Miriam Degree College,272,161,433,16,11,27,16
278,Andhra Pradesh,Guntur,College Institution,Prakasam,"Shams-Ul-Uloom College of Education, Podili",99,37,136,5,0,5,27
279,Andhra Pradesh,Anantapur,College Institution,Kurnool,"St Jones of Engineering College andPharmaceutical Sciences, Yemmiganur",173,69,242,16,4,20,12
280,Andhra Pradesh,East Godavari,College Institution,East Godavari,"Chaitanya Institute of Science and Technology, Madhavapatnam, Samaklkot (Mandal), near Kakinada, PIN-533005(CC-S0)",1159,228,1387,55,29,84,16
281,Andhra Pradesh,East Godavari,College Institution,Prakasam,"PACE Institution of Technology and Sciences, NH-5, Near Valluramma Temple, Vallur, Ongole,-523272(CC-KQ)",1467,512,1979,91,17,108,18
282,Andhra Pradesh,NA,College Institution,Chittoor,"Sri Chaitanya College of Nursing, Tirupati",102,102,204,0,22,22,9
283,Andhra Pradesh,Anantapur,College Institution,Anantapur,"Intell Engineering College, Anantapur",2934,803,3737,89,59,148,25
284,Andhra Pradesh,Anantapur,College Institution,Chittoor,Kuppam Engineering College. Chittoor,1609,455,2064,102,29,131,15
285,Andhra Pradesh,Anantapur,College Institution,Sri Potti Sriramulu Nellore,"Master Institute of Management Science and Technology, Kavali",34,16,50,8,4,12,4
286,Andhra Pradesh,Chittoor,College Institution,Chittoor,"Dr.A.E.R College of Mgnt Studies and Research, Ramapuram, Tirupati",187,41,228,9,7,16,14
287,Andhra Pradesh,Chittoor,College Institution,Chittoor,"Gayatri Degree College, Tirupati Urban",781,459,1240,11,18,29,42
288,Andhra Pradesh,Y.S.R.,College Institution,Y.S.R.,Loyola Degree College,1602,991,2593,39,5,44,58
289,Andhra Pradesh,Anantapur,College Institution,Y.S.R.,Sri Rama Krishna Institute of Technology,97,7,104,14,1,15,6
290,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,"Govt. Degree College, Kovur",142,81,223,0,10,10,22
291,Andhra Pradesh,Anantapur,College Institution,Chittoor,"Mother Theresa Institute of Engineering and Technology, Palamaner",402,148,550,29,17,46,11
292,Andhra Pradesh,Visakhapatnam,College Institution,East Godavari,Gandhi Centenary College of Education,98,46,144,5,3,8,18
293,Andhra Pradesh,Anantapur,College Institution,Chittoor,"Madanapalli Institute of Technology and Science, Madanapalli",3596,1169,4765,117,25,142,33
294,Andhra Pradesh,East Godavari,College Institution,Guntur,"Sri Mittapalli Institute of Technology for Women, Tummalapalem, NH-5, PIN-522233 (CC-MK)",560,560,1120,15,35,50,22
295,Andhra Pradesh,East Godavari,College Institution,Srikakulam,"Sri Sivani College of Engineering, Chilakapalem Junction, Etcherla Mandal, PIN-532402 (CC-W6)",1463,443,1906,76,45,121,15
296,Andhra Pradesh,Chittoor,College Institution,Chittoor,"S.G. Govt. Degree College, PILER Rural",1000,291,1291,25,5,30,43
297,Andhra Pradesh,Anantapur,College Institution,Anantapur,"Raghavendra Institute of Pharmaceutical Education and Research, Anantapur",562,267,829,54,22,76,10
298,Andhra Pradesh,Guntur,College Institution,Prakasam,Sri Prathidba Degree College,138,80,218,5,3,8,27
299,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,"Sana Institute of Computer Studies, Chemudugunta, Bujabuja Nellore",32,5,37,5,1,6,6
300,Andhra Pradesh,Krishna,College Institution,Krishna,MARIS STELLA COLLEGE,1365,1365,2730,4,41,45,60
301,Andhra Pradesh,East Godavari,College Institution,Visakhapatnam,"Visakha Institute of Engineering and Technology, 57th Division, Narava, PIN- 530027(CC-NT)",1331,488,1819,31,25,56,32
302,Andhra Pradesh,East Godavari,College Institution,Krishna,"Prasad Institute of Technology and Science, Vidya Nagar, Jaggayyapet, PIN-521175(CC-FF)",467,126,593,72,36,108,5
303,Andhra Pradesh,Y.S.R.,College Institution,Y.S.R.,"Govt.Degree College, Rly.Koduru",277,123,400,18,3,21,19
304,Andhra Pradesh,East Godavari,College Institution,Krishna,"Global Institute of Management and Technology, Bommuluru, Hanuman Junction, Bapulapadu Mandal,PIN- 521105,(CC - 7P)",76,16,92,4,4,8,11
305,Andhra Pradesh,Guntur,College Institution,Guntur,S.B.M.S. Degree College,7,4,11,4,4,8,1
306,Andhra Pradesh,NA,College Institution,West Godavari,"Mother Vaanini College of Nursing, Tadepalligudem",174,174,348,0,36,36,9
307,Andhra Pradesh,East Godavari,College Institution,Guntur,"Tenali Engineering College, Anumarlapudi Village, Sangamjagarlamudi (via), Tenali (R.M.S), Pedakakani (M), PIN-522213(CC-BN)",848,284,1132,25,32,57,19
308,Andhra Pradesh,Guntur,College Institution,Guntur,Sri Majeti Guravaiah Degree College,296,55,351,5,6,11,31
309,Andhra Pradesh,Anantapur,College Institution,Sri Potti Sriramulu Nellore,Narayana Engineering College-Gudur,1678,569,2247,189,91,280,8
310,Andhra Pradesh,Chittoor,College Institution,Chittoor,"Sri Vedanarayana College of Education, Narayanavanam, Puttur",100,54,154,8,0,8,19
311,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,Rao's Institute of Management Studies,264,76,340,19,5,24,14
312,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,"Dr. Chennur Radha Krishna Reddy Degree College,Sydapuram",180,82,262,11,0,11,23
313,Andhra Pradesh,NA,College Institution,Y.S.R.,"Nava Jeevan College of Medical Lab Technology, Kadapa",79,11,90,15,5,20,4
314,Andhra Pradesh,Krishna,College Institution,Krishna,"VIKAS DEGREE COLLEGE,KHAMBAMPADU",113,76,189,13,0,13,14
315,Andhra Pradesh,Anantapur,College Institution,Chittoor,"Vemu Institute of Technology, Chittoor",1031,389,1420,74,29,103,13
316,Andhra Pradesh,Visakhapatnam,College Institution,East Godavari,V.S.Lakshmi Degree College for Women,928,928,1856,25,25,50,37
317,Andhra Pradesh,Anantapur,College Institution,Anantapur,"C.V.L.N.R. Degree College, Anantapur",199,61,260,4,6,10,26
318,Andhra Pradesh,Anantapur,College Institution,Y.S.R.,"Annamacharya Institute of Technology and Sciences,(Autonomous) New Bowenpally, Rajampet",2252,815,3067,161,45,206,14
319,Andhra Pradesh,East Godavari,College Institution,West Godavari,"AKRG College of Pharmacy, Nallagerla PIN-534112(CC-8N)",294,161,455,17,8,25,18
320,Andhra Pradesh,Srikakulam,College Institution,Srikakulam,SRI KRISHNA SAI DEGREE COLLEGE,362,181,543,10,1,11,49
321,Andhra Pradesh,Srikakulam,College Institution,Srikakulam,VAMSADHARA DEGREE COLLEGE,313,154,467,15,7,22,21
322,Andhra Pradesh,Y.S.R.,College Institution,Y.S.R.,Penubala College of Education,96,36,132,8,0,8,16
323,Andhra Pradesh,Anantapur,College Institution,Y.S.R.,"Fathima Institute of Pharmacy, Ramarajupally",42,23,65,15,4,19,3
324,Andhra Pradesh,Krishna,College Institution,Krishna,SRI SIDDHARTHA DEGREE COLLEGE FOR SCI.and COMPUTERS,664,299,963,22,7,29,33
325,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,"Siddardha College of Computer Science, Musunur",111,15,126,8,2,10,12
326,Andhra Pradesh,Guntur,College Institution,Guntur,Priyadarsini Institute of Pharmaceutical Science,132,72,204,6,6,12,17
327,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,"N.B.K.R Science and Arts College, Vidyanagar",337,135,472,23,14,37,12
328,Andhra Pradesh,NA,College Institution,Krishna,"St. Ann's College of Nursing, Vijayawada",196,196,392,0,18,18,21
329,Andhra Pradesh,Sri Potti Sriramulu Nellore,College Institution,Sri Potti Sriramulu Nellore,"G.S. Arts and Science Degree College, Buchireddy Palam",299,153,452,14,1,15,30
